ரேடியோ	radio
அதிர்வெண்	athirven
முடுக்கிகள்	mudikkigal
துகள்கள்	thugalkal
நேரடியாக	neradiyaga
முடுக்குகிறது	mudukukirathu
</s>	</s>
மான்	maan
விளையாடிக்கொண்டு	vilaiyaadikondu
வந்து	vanthu
உன்னை	unnai
மோதினால்	modhinaal
உன்	un
காசுமணியிலுள்ள	kaasumaiyilulla
முத்துக்கள்	muthukkal
சிதறி	sithari
விழுவது	vizhuvathu
போல	pola
குமிழம்	kumizham
பழங்கள்	palangal
கொட்டும்	kottum
வழியில்	vazhiyil
நீ	nee
எட்டமொடு	ettamodu
வருகிறாயா	varukiraya
என்று	endru
அவர்	avar
கேட்டதுண்டு	ketathundu
</s>	</s>
அமிர்தகழி	amirthakazhi
</s>	</s>
மோகன்	mohan
லால்	lal
குப்தா	gupta
ஜெய்ப்பூரின்	jaipaurin
முன்னாள்	munnal
மேயராகவும்	mayoragavum
இந்தியாவின்	indiyavin
ராஜஸ்தான்	rajasthan
சட்டமன்ற	sattamandra
உறுப்பினராகவும்	uripinaragavum
எம்.எல்.ஏ	mla
இருக்கிறார்	irukirar
</s>	</s>
தில்லி	delhi
மாநில	maanila
கூட்டுறவு	kooturavu
வங்கி	vangi
லி	li
</s>	</s>
அவை	avai
சேவைகளை	sevaikalai
வழங்கும்	vazhangum
இருப்பு	iruppu
சார்ந்த	saarntha
சொத்துகளாகும்	sothukalaagum
</s>	</s>
உருசியப்	urusiya
பேரரசு	perarasu
அலாசுக்காவில்	alasukkaavil
குடியேற்றத்தை	kudiyetrathai
நிறுவி	niruvi
கடல்	kadal
வழியாக	vazhiyaga
தோல்	thol
வணிகத்தில்	vanigathil
ஈடுபடுவதாக	edupaduvathaaga
கிடைத்த	kidaitha
செய்தியால்	seythiyaal
மேல்	mel
கலிபோர்னியாவில்	californiayavil
குடியேற்றத்தை	kudiyetrathai
உருவாக்கும்	uruvaakum
எசுப்பானியாவின்	yesupaaniyaavin
எண்ணம்	ennam
அதிகமாகியது	athigamagiyathu
</s>	</s>
உலகளாவிய	ulagalaaviya
கிராமம்	kiramam
அல்லது	allathu
புவிக்	puvi
கிராமம்	kiramam
Global	global
village	village
என்பது	enbathu
பல்வேறு	palveru
விதமான	vithamaana
தொடர்பு	thodarpu
சாதனங்களின்	saathangalin
பயன்பாட்டினால்	payanpaatilnaal
புவியானது	puviyanathu
ஒரு	oru
கிராமமாகச்	kiramamaga
சுருக்கப்பட்டதை	surukappattathai
உருவகிக்கும்	uruvagikkum
ஒரு	oru
சொற்றொடர்	sortrodar
ஆகும்	aagum
</s>	</s>
பெரும்பாலான	perumbalaana
நோயாளிகள்	noyaligal
இதய	idhya
சம்பந்தமான	sambanthamaana
குறைபாடுகளால்	kuraipaadukalil
பாதிக்கப்படுகின்றனர்	paathigappadukindranar
மேலும்	melum
நோயாளிகளின்	noyaligalin
குருதி	kuruthi
ஊட்டக்குறை	oottakurai
சரிசெய்யப்படாமல்	sariseyyappadamal
விடப்படும்	vidappadum
பட்சத்தில்	patchathil
அவர்கள்	avargal
பக்கவாதம்	pakkavaatham
மற்றும்	mattrum
திடீர்	thideer
இறப்புக்கு	irappukku
ஆளாகின்றனர்	aalagindranar
</s>	</s>
போரிரீன்கள்	porireengal
பாசுபிரீன்கள்	paasureengal
சிலிரீன்கள்	silireengal
என்பவை	enbavai
போரான்	poraan
பாசுபரசு	paasuparasu
சிலிக்கன்	silicon
தனிமங்கள்	thanimangal
பதிலீடு	pathileedu
செய்யப்பட்ட	seyyappatta
சைக்ளோபுரோப்பீன்களாகும்	saiklopuropeenkalaagum
</s>	</s>
சீரொளி	seeroli
</s>	</s>
தமிழக	thamizhaga
ஆறுகளின்	aarugalin
பட்டியல்	pattiyal
</s>	</s>
கிடைக்கோடுகளின்	kidaikodukalin
முனைகள்	munaigal
இருபுறமும்	irupuramum
குத்துக்	kuthuk
கோடுகளால்	kodukalal
இணைக்கப்பட்டிருக்கும்	inaikkappattirukum
</s>	</s>
உலகம்	ulagam
முழுதுமாக	muzhuvathum
மொத்தம்	moththam
16.3	16.3
மில்லியன்	million
மக்கள்	makkal
இச்சபையின்	echabaiyin
உறுப்பினர்களாக	uripinarkalaga
உள்ளனர்	ullanar
</s>	</s>
நாட்டியதாரா	naatiyathara
</s>	</s>
எனவே	enave
கண்டல்	kandal
தாவரங்களில்	thaavarangalil
வேரிழையங்களுக்கு	verizhaiyangalukku
ஆக்சிசன்	oxygen
வழங்குவதற்காக	vazhanguvatharkkaga
மூச்சு	moochu
வேர்கள்	vergal
கூர்ப்படைந்துள்ளன	koorppadaithullana
</s>	</s>
இளம்	elam
வயதிலிருந்தே	vayathilirunthey
இலக்கியத்தில்	ilakiyathil
ஆர்வம்	aarvam
காட்டினார்	kaatinaar
கிரேம்	kirekkam
